"","stop_id","stop_name","stop_lat","stop_lon","trip_id","arrival_time","departure_time","stop_sequence"
"50",7004,"Flensburg, Bahnhof/Serpentine",54.775116,9.435285,433693,"15:19:00","15:19:00",43
"51",7004,"Flensburg, Bahnhof/Serpentine",54.775116,9.435285,445706,"16:49:00","16:49:00",9
"52",7004,"Flensburg, Bahnhof/Serpentine",54.775116,9.435285,460293,"13:19:00","13:19:00",43
"53",7004,"Flensburg, Bahnhof/Serpentine",54.775116,9.435285,518774,"10:49:00","10:49:00",9
"54",7004,"Flensburg, Bahnhof/Serpentine",54.775116,9.435285,521149,"13:49:00","13:49:00",9
"55",7004,"Flensburg, Bahnhof/Serpentine",54.775116,9.435285,564842,"07:19:00","07:19:00",45
"56",7004,"Flensburg, Bahnhof/Serpentine",54.775116,9.435285,565862,"18:49:00","18:49:00",9
"57",7004,"Flensburg, Bahnhof/Serpentine",54.775116,9.435285,629588,"18:19:00","18:19:00",45
"58",7004,"Flensburg, Bahnhof/Serpentine",54.775116,9.435285,639951,"06:19:00","06:19:00",45
"59",7004,"Flensburg, Bahnhof/Serpentine",54.775116,9.435285,652767,"18:49:00","18:49:00",9
"60",7004,"Flensburg, Bahnhof/Serpentine",54.775116,9.435285,699751,"13:19:00","13:19:00",43
"61",7004,"Flensburg, Bahnhof/Serpentine",54.775116,9.435285,769184,"15:19:00","15:19:00",43
"62",7004,"Flensburg, Bahnhof/Serpentine",54.775116,9.435285,828079,"15:19:00","15:19:00",29
"63",7004,"Flensburg, Bahnhof/Serpentine",54.775116,9.435285,830525,"17:19:00","17:19:00",29
"64",7004,"Flensburg, Bahnhof/Serpentine",54.775116,9.435285,830941,"11:49:00","11:49:00",9
"65",7004,"Flensburg, Bahnhof/Serpentine",54.775116,9.435285,860440,"12:49:00","12:49:00",9
"66",7004,"Flensburg, Bahnhof/Serpentine",54.775116,9.435285,910762,"08:49:00","08:49:00",9
"67",7004,"Flensburg, Bahnhof/Serpentine",54.775116,9.435285,918093,"14:49:00","14:49:00",9
"68",7004,"Flensburg, Bahnhof/Serpentine",54.775116,9.435285,920780,"16:19:00","16:19:00",45
"69",7004,"Flensburg, Bahnhof/Serpentine",54.775116,9.435285,938680,"15:49:00","15:49:00",9
"70",7004,"Flensburg, Bahnhof/Serpentine",54.775116,9.435285,964541,"12:49:00","12:49:00",9
"71",7004,"Flensburg, Bahnhof/Serpentine",54.775116,9.435285,970052,"08:49:00","08:49:00",9
"72",7004,"Flensburg, Bahnhof/Serpentine",54.775116,9.435285,984266,"17:19:00","17:19:00",43
"73",12432,"Flensburg, Eckernförder Landstraße, Mast 6o",54.76971,9.438756,1002714,"16:49:00","16:49:00",45
"74",12432,"Flensburg, Eckernförder Landstraße, Mast 6o",54.76971,9.438756,1198512,"10:49:00","10:49:00",45
"75",12432,"Flensburg, Eckernförder Landstraße, Mast 6o",54.76971,9.438756,256205,"06:49:00","06:49:00",45
"76",12432,"Flensburg, Eckernförder Landstraße, Mast 6o",54.76971,9.438756,296667,"16:49:00","16:49:00",45
"77",12432,"Flensburg, Eckernförder Landstraße, Mast 6o",54.76971,9.438756,397177,"12:49:00","12:49:00",45
"78",12432,"Flensburg, Eckernförder Landstraße, Mast 6o",54.76971,9.438756,540547,"12:49:00","12:49:00",45
"79",12432,"Flensburg, Eckernförder Landstraße, Mast 6o",54.76971,9.438756,74040,"14:49:00","14:49:00",45
"80",12432,"Flensburg, Eckernförder Landstraße, Mast 6o",54.76971,9.438756,762134,"18:49:00","18:49:00",45
"81",12432,"Flensburg, Eckernförder Landstraße, Mast 6o",54.76971,9.438756,853886,"08:49:00","08:49:00",45
"82",12432,"Flensburg, Eckernförder Landstraße, Mast 6o",54.76971,9.438756,883449,"08:49:00","08:49:00",45
"83",12432,"Flensburg, Eckernförder Landstraße, Mast 6o",54.76971,9.438756,944298,"16:49:00","16:49:00",45
"84",12432,"Flensburg, Eckernförder Landstraße, Mast 6o",54.76971,9.438756,962674,"12:49:00","12:49:00",45
"85",12432,"Flensburg, Eckernförder Landstraße, Mast 6o",54.76971,9.438756,987666,"08:49:00","08:49:00",45
"86",12432,"Flensburg, Eckernförder Landstraße, Mast 6o",54.76971,9.438756,1123559,"12:06:00","12:06:00",26
"87",12432,"Flensburg, Eckernförder Landstraße, Mast 6o",54.76971,9.438756,170860,"06:06:00","06:06:00",21
"88",12432,"Flensburg, Eckernförder Landstraße, Mast 6o",54.76971,9.438756,191994,"18:06:00","18:06:00",26
"89",12432,"Flensburg, Eckernförder Landstraße, Mast 6o",54.76971,9.438756,578237,"14:06:00","14:06:00",26
"90",12432,"Flensburg, Eckernförder Landstraße, Mast 6o",54.76971,9.438756,675831,"20:06:00","20:06:00",26
"91",12432,"Flensburg, Eckernförder Landstraße, Mast 6o",54.76971,9.438756,772918,"16:06:00","16:06:00",26
"92",12432,"Flensburg, Eckernförder Landstraße, Mast 6o",54.76971,9.438756,774344,"08:06:00","08:06:00",26
"93",12432,"Flensburg, Eckernförder Landstraße, Mast 6o",54.76971,9.438756,797592,"10:06:00","10:06:00",26
"94",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,657096,"07:20:00","07:20:00",31
"95",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,125877,"14:08:00","14:08:00",29
"96",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,261645,"08:38:00","08:38:00",29
"97",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,361797,"18:18:00","18:18:00",29
"98",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,1234750,"08:16:00","08:16:00",27
"99",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,1257393,"14:16:00","14:16:00",27
"100",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,164747,"12:16:00","12:16:00",27
"101",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,185860,"10:16:00","10:16:00",27
"102",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,203728,"18:16:00","18:16:00",27
"103",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,414633,"06:16:00","06:16:00",27
"104",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,50455,"16:16:00","16:16:00",27
"105",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,621765,"20:16:00","20:16:00",27
"106",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,1023970,"17:31:00","17:31:00",32
"107",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,1024054,"06:31:00","06:31:00",32
"108",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,1113777,"13:31:00","13:31:00",32
"109",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,309867,"16:31:00","16:31:00",32
"110",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,450987,"08:31:00","08:31:00",32
"111",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,547774,"09:31:00","09:31:00",32
"112",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,604873,"17:31:00","17:31:00",32
"113",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,609588,"21:31:00","21:31:00",32
"114",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,629781,"14:31:00","14:31:00",32
"115",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,765901,"10:31:00","10:31:00",32
"116",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,849467,"18:31:00","18:31:00",32
"117",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,865602,"12:31:00","12:31:00",32
"118",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,881494,"20:31:00","20:31:00",32
"119",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,946681,"09:31:00","09:31:00",32
"120",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,999331,"13:31:00","13:31:00",32
"121",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,1034296,"15:16:00","15:16:00",35
"122",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,1040291,"11:16:00","11:16:00",35
"123",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,1056568,"09:16:00","09:16:00",35
"124",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,1113651,"17:16:00","17:16:00",35
"125",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,1175475,"13:16:00","13:16:00",35
"126",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,1193243,"09:16:00","09:16:00",35
"127",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,1199214,"11:16:00","11:16:00",35
"128",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,186404,"13:16:00","13:16:00",35
"129",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,272454,"19:16:00","19:16:00",35
"130",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,338541,"21:16:00","21:16:00",35
"131",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,368555,"19:16:00","19:16:00",35
"132",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,39923,"07:16:00","07:16:00",35
"133",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,430280,"11:16:00","11:16:00",35
"134",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,536564,"19:16:00","19:16:00",35
"135",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,592307,"15:16:00","15:16:00",35
"136",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,605023,"09:16:00","09:16:00",35
"137",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,715203,"07:16:00","07:16:00",35
"138",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,734498,"17:16:00","17:16:00",35
"139",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,75642,"21:16:00","21:16:00",35
"140",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,772004,"17:16:00","17:16:00",35
"141",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,867811,"15:16:00","15:16:00",35
"142",17417,"Flensburg, Mühlendamm, Mast 6o",54.777405,9.441171,942173,"13:16:00","13:16:00",35
"143",17529,"Flensburg, Campus Hochschule, Mast 1u",54.775173,9.447039,1107130,"17:57:00","17:57:00",5
"144",17529,"Flensburg, Campus Hochschule, Mast 1u",54.775173,9.447039,282785,"06:11:00","06:11:00",5
"145",17529,"Flensburg, Campus Hochschule, Mast 1u",54.775173,9.447039,379215,"07:46:00","07:46:00",5
"146",17529,"Flensburg, Campus Hochschule, Mast 1u",54.775173,9.447039,50656,"13:36:00","13:36:00",5
"147",17529,"Flensburg, Campus Hochschule, Mast 1u",54.775173,9.447039,621902,"16:36:00","16:36:00",5
"148",17529,"Flensburg, Campus Hochschule, Mast 1u",54.775173,9.447039,644799,"06:41:00","06:41:00",5
"149",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,1012112,"05:25:00","05:25:00",0
"150",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,1024054,"06:36:00","06:36:00",36
"151",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,1146061,"13:25:00","13:25:00",0
"152",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,1164709,"07:25:00","07:25:00",0
"153",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,1250462,"13:25:00","13:25:00",0
"154",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,268074,"09:25:00","09:25:00",0
"155",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,309867,"16:36:00","16:36:00",36
"156",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,374538,"17:25:00","17:25:00",0
"157",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,390916,"17:25:00","17:25:00",0
"158",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,39442,"11:25:00","11:25:00",0
"159",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,450987,"08:36:00","08:36:00",36
"160",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,49477,"21:34:00","21:34:00",0
"161",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,520869,"21:36:00","21:36:00",0
"162",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,550747,"17:25:00","17:25:00",0
"163",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,592490,"13:25:00","13:25:00",0
"164",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,609588,"21:36:00","21:36:00",36
"165",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,629781,"14:36:00","14:36:00",36
"166",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,669427,"19:25:00","19:25:00",0
"167",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,74766,"09:25:00","09:25:00",0
"168",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,765901,"10:36:00","10:36:00",36
"169",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,812727,"15:25:00","15:25:00",0
"170",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,833777,"09:25:00","09:25:00",0
"171",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,849467,"18:36:00","18:36:00",36
"172",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,865602,"12:36:00","12:36:00",36
"173",21088,"Flensburg, ZOB, Mast A7",54.78523,9.437478,881494,"20:36:00","20:36:00",36
